subject #,segment #,_dbrain_18cluster_LORB,_dbrain_18cluster_RORB,_dbrain_18cluster_LP,_dbrain_18cluster_RP,_dbrain_18cluster_LIF,_dbrain_18cluster_RIF,_dbrain_18cluster_LPF,_dbrain_18cluster_RPF,_dbrain_18cluster_LT,_dbrain_18cluster_RT,_dbrain_18cluster_LIT,_dbrain_18cluster_RIT,_dbrain_18cluster_LTP,_dbrain_18cluster_RTP,_dbrain_18cluster_LO,_dbrain_18cluster_RO,_dbrain_18cluster_LIO,_dbrain_18cluster_RIO
00315,Segment 21,3.27467,1.34166,-0.98770,-2.47237,1.48705,-5.49600,1.33886,-1.24093,3.99077,-0.64191,6.63637,-6.23737,4.46121,-3.74044,1.34294,-2.90440,4.94500,-1.04032
00315,Segment 22,4.60145,-1.15245,-0.26859,-2.47146,3.54054,-0.60148,3.37455,-1.39155,1.80711,-3.61815,2.34452,0.60819,-1.23277,-2.43084,-0.96694,-1.71839,1.00926,1.37876
00315,Segment 23,-3.05474,0.84292,3.81523,2.63521,-4.19585,-0.55128,1.95256,3.41627,-3.17678,-0.17800,-2.99659,-3.33109,-1.79352,-0.74857,0.35772,0.68900,-1.65764,-0.94245
00315,Segment 24,-2.77988,0.59450,-0.35943,-0.65795,2.29160,3.46541,-1.82806,-0.10829,-0.85579,-0.13563,2.21121,3.06996,-1.34702,-1.99749,0.04624,0.16764,0.47966,0.02128
00315,Segment 25,-4.93460,-4.58582,-1.15585,2.41532,1.30702,1.63628,-4.53489,-1.98194,-3.00680,3.20802,2.77751,4.77766,-1.12063,4.30708,1.20280,2.10474,2.87647,1.59502
00315,Segment 26,-4.11087,-0.74547,-0.28329,0.77467,-0.98279,1.46748,-3.59074,-0.99301,-2.90532,2.63184,0.28833,2.35730,0.17462,1.46521,1.71289,1.84943,3.28115,3.20834
00315,Segment 27,-2.05774,-1.17015,-0.24055,-1.26936,2.85011,0.25205,0.16473,0.45068,0.12053,0.68069,4.59322,-1.57198,0.41911,-0.36672,-0.73913,-1.26688,0.90156,1.32484
00315,Segment 28,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 29,-3.12468,-2.80380,-0.52970,-1.76681,1.99735,-3.08114,-1.71504,-3.31281,2.97489,-1.83466,8.27548,-2.23991,6.87311,0.04823,3.55459,-0.38582,6.38590,2.01801
00315,Segment 30,-3.21939,-0.56135,1.12878,2.38512,-2.82690,-1.07328,0.13239,1.71970,-0.76746,2.88570,-3.36523,-2.00646,-1.39855,2.35637,-0.33359,1.08056,-1.20783,0.02962
00315,Segment 31,-1.11923,-4.16036,0.46897,0.74847,1.78060,1.53303,-0.49232,-2.64437,0.87327,-0.12739,0.36997,0.14532,-0.61713,2.36564,-0.31050,1.53821,-0.05138,1.52056
00315,Segment 32,-7.50178,-2.81537,0.22821,-0.77369,-0.77947,-1.31251,-5.53392,-3.88638,1.73674,-0.66984,2.35696,2.99585,5.95663,2.12766,5.30058,4.49711,5.16308,4.36057
00315,Segment 33,2.15716,5.09627,-4.96155,-1.96770,2.42709,5.66568,-1.21748,1.98652,0.21263,2.91209,0.11018,0.31000,-2.57826,-0.15434,-4.51145,-1.88209,-0.52249,-1.21076
00315,Segment 34,-3.08485,-2.94329,1.60157,4.81441,-3.53914,-3.45479,-1.07737,0.08882,-1.80434,0.22632,-1.49030,-2.00736,-0.55644,3.24418,2.12217,3.21817,0.61139,1.40269
00315,Segment 35,1.40183,-0.04563,-2.20959,-1.65208,5.13064,4.77375,-1.84701,-1.94525,0.15476,2.27760,0.37774,2.93492,-2.38900,-0.18474,-1.26704,-0.63523,-1.85550,-1.51986
00315,Segment 36,-3.92352,-6.99732,-1.46852,-3.12405,3.16159,-0.41405,-5.54042,-4.74902,-1.96373,-1.85604,10.17303,0.98327,8.54810,-0.09683,8.10673,2.49675,11.72453,7.96520
00315,Segment 37,-2.56703,-5.18116,-0.66254,-2.12022,3.60044,-3.13864,-2.02284,-5.57061,5.03706,-2.36315,7.61432,-1.63052,6.13889,0.44078,3.78355,1.91260,6.05915,3.04891
00315,Segment 38,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 39,6.60932,4.07398,-1.26208,-2.97664,2.30055,-0.55195,4.02179,2.93246,2.83236,-0.87946,-0.98628,0.17865,-3.82318,-3.85596,-3.59675,-3.68742,-3.45244,-4.13787
00315,Segment 40,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 1,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 2,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥,¥
00315,Segment 3,-5.16675,-1.96185,2.13930,6.27312,-4.06491,-4.54020,1.08235,5.79876,-1.43815,6.07657,-6.72256,-1.91280,-4.10264,0.39154,-0.58336,0.89206,-5.64760,-1.80057
00315,Segment 4,-1.96814,-0.23002,1.26522,1.77020,-4.59924,-1.31546,2.29981,1.63610,1.96543,-0.55666,-3.34955,-0.41317,-1.24098,0.81048,-0.53222,0.89971,-1.28343,-0.28091
00315,Segment 5,-7.57284,-7.44898,5.06634,9.28888,-6.65423,-7.41910,-0.90524,0.94576,-0.14786,0.65521,-1.69096,-6.11966,-1.03910,4.56623,2.64041,5.40471,0.65188,0.57484
00315,Segment 6,-5.76783,-4.73083,3.62182,0.39084,-4.49275,-8.98433,-3.41303,-4.39764,2.12228,-0.29817,8.39032,-7.09624,11.17014,-0.64587,8.40531,1.64802,11.70139,3.17475
